ID:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Mezőnév:,uc_ugyfelkod,uc_nev,uc_tel,uc_email,uc_ceg_nev,uc_ceg_cim_iranyito,uc_ceg_cim_telepules,uc_ceg_cim_orszag,uc_ceg_cim_kozterulet,uc_ceg_cim_megjegyzes,uc_ceg_adoszam,uc_ceg_bankszamlaszam,ucc_ugyfelkod,ucc_nev,ucc_tel,ucc_email,ucc_ceg_nev,ucc_ceg_cim_iranyito,ucc_ceg_cim_telepules,ucc_ceg_cim_orszag,ucc_ceg_cim_kozterulet,ucc_ceg_cim_megjegyzes,ucc_ceg_adoszam,szl_12h,szl_okmany,szl_okmanyok,szl_sms,szl_visszaru,szl_csomagszam,szl_csomag_suly,szl_csomagok,szl_raklapos,szl_tartalom,szl_biztositas,szl_aruertek,szl_utanvet,szl_ekaer_szam,szl_ekaer_email,szl_koltseghely,szl_referenciaszam,szl_koltsegviselo,szl_adoszam,szl_maganszemely,ucch_ugyfelkod,ucch_nev,ucch_tel,ucch_email,ucch_ceg_nev,ucch_ceg_cim_iranyito,ucch_ceg_cim_telepules,ucch_ceg_cim_orszag,ucch_ceg_cim_kozterulet,ucch_ceg_cim_megjegyzes,ucch_ceg_adoszam
Minta adat:,MINT,Minta Péter,+36201234567,minta@minta-ceg.hu,Minta cég Kft.,1234,Budapest,36,Minta utca 1,Minta megjegyzés,12345678-1-12,11111111-22222222-00000000,MINT,Tóth Balázs,+36202517373,toth.balazs@pannonxp.hu,Pannon XP Kft.,2142,Nagytarcsa,36,Csonka János utca 5/B/1,Megjegyzés a kiszállításhoz,87654321-1-12,0,0,,1,0,1,1,"{""1"":{""db"":1,""suly"":""0.5"",""hosszusag"":30,""szelesseg"":20,""magassag"":1,""tipus"":""doboz""}}",0,Dokumentum,0,0,0,,,,,0,12345678-1-12,0,,,,,,,,,,,
,MINT,Minta Péter,+36201234567,minta@minta-ceg.hu,Minta cég Kft.,1234,Budapest,36,Minta utca 1,Minta megjegyzés,12345678-1-12,11111111-22222222-00000000,MINT,Tóth Balázs,+36202517373,toth.balazs@pannonxp.hu,Pannon XP Kft.,2142,Nagytarcsa,36,Csonka János utca 5/B/1,Megjegyzés a kiszállításhoz,87654321-1-12,0,1,Szallító szám: 123456,1,0,2,50,"{""1"":{""db"":1,""suly"":""20"",""hosszusag"":40,""szelesseg"":30,""magassag"":20,""tipus"":""doboz""},""2"":{""db"":1,""suly"":""30"",""hosszusag"":50,""szelesseg"":35,""magassag"":30,""tipus"":""doboz""}}",1,Alkatrész,1,250000,300000,,,,,0,12345678-1-12,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FONTOS! A mezőneveket pontosan kell megadni, az oszlopok azonosítása a mezőnév alapján történik.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Mezőnév,,Kötelező,Leírás,,,,,,,,Tipp:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,uc_ugyfelkod,varchar(4),IGEN,"A regisztráció során kapott PXP ügyfélkód [MINT], 4 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,uc_nev,varchar(30),IGEN,"A feladó kapcsolattartó személy neve. Min: 2, max: 30 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,uc_tel,varchar(20),IGEN,"A feladó kapcsolattartó személy telefonos elérhetősége. Min: 6, max: 20 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
